2024-03-19 00:48:29,662 INFO    StreamThr :3068826 [internal.py:wandb_internal():86] W&B internal server running at pid: 3068826, started at: 2024-03-19 00:48:29.662013
2024-03-19 00:48:29,664 DEBUG   HandlerThread:3068826 [handler.py:handle_request():146] handle_request: status
2024-03-19 00:48:29,665 INFO    WriterThread:3068826 [datastore.py:open_for_write():87] open: /home/yancheng/code/DeepCore/wandb/run-20240319_004829-63ber4go/run-63ber4go.wandb
2024-03-19 00:48:29,665 DEBUG   SenderThread:3068826 [sender.py:send():382] send: header
2024-03-19 00:48:29,666 DEBUG   SenderThread:3068826 [sender.py:send():382] send: run
2024-03-19 00:48:29,948 INFO    SenderThread:3068826 [dir_watcher.py:__init__():211] watching files in: /home/yancheng/code/DeepCore/wandb/run-20240319_004829-63ber4go/files
2024-03-19 00:48:29,948 INFO    SenderThread:3068826 [sender.py:_start_run_threads():1136] run started: 63ber4go with start time 1710823709.66139
2024-03-19 00:48:29,961 DEBUG   HandlerThread:3068826 [handler.py:handle_request():146] handle_request: check_version
2024-03-19 00:48:29,961 DEBUG   SenderThread:3068826 [sender.py:send_request():409] send_request: check_version
2024-03-19 00:48:30,061 DEBUG   HandlerThread:3068826 [handler.py:handle_request():146] handle_request: run_start
2024-03-19 00:48:30,068 DEBUG   HandlerThread:3068826 [system_info.py:__init__():27] System info init
2024-03-19 00:48:30,068 DEBUG   HandlerThread:3068826 [system_info.py:__init__():42] System info init done
2024-03-19 00:48:30,068 INFO    HandlerThread:3068826 [system_monitor.py:start():194] Starting system monitor
2024-03-19 00:48:30,069 INFO    SystemMonitor:3068826 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-03-19 00:48:30,070 INFO    HandlerThread:3068826 [system_monitor.py:probe():214] Collecting system info
2024-03-19 00:48:30,070 INFO    SystemMonitor:3068826 [interfaces.py:start():190] Started cpu monitoring
2024-03-19 00:48:30,071 INFO    SystemMonitor:3068826 [interfaces.py:start():190] Started disk monitoring
2024-03-19 00:48:30,071 INFO    SystemMonitor:3068826 [interfaces.py:start():190] Started gpu monitoring
2024-03-19 00:48:30,071 INFO    SystemMonitor:3068826 [interfaces.py:start():190] Started memory monitoring
2024-03-19 00:48:30,072 INFO    SystemMonitor:3068826 [interfaces.py:start():190] Started network monitoring
2024-03-19 00:48:30,101 DEBUG   HandlerThread:3068826 [system_info.py:probe():151] Probing system
2024-03-19 00:48:30,103 DEBUG   HandlerThread:3068826 [system_info.py:_probe_git():136] Probing git
2024-03-19 00:48:30,109 DEBUG   HandlerThread:3068826 [system_info.py:_probe_git():144] Probing git done
2024-03-19 00:48:30,109 DEBUG   HandlerThread:3068826 [system_info.py:probe():199] Probing system done
